entrezgene_id	Y100l2fc	PM100l2fc
114879	-1.075840782	-0.744870628
51507	0.778251991	0.909711763
55655	-0.011912181	-0.641907697
57210	-0.624422943	-0.720455919
55778	-0.920815918	-0.983411441
64429	0.286796944	0.974451114
57476	-1.691254553	-1.193551123
6050	1.122303585	1.394484358
9821	-1.763081395	-1.234618497
23071	0.649584964	1.039749373
211	-0.604749421	-0.74009618
330	-1.395700493	-0.229864036
11215	0.182577848	0.845660397
51022	-0.792591661	-1.816963196
6617	-2.648106674	-2.857365598
51071	0.493919572	1.073465714
11171	0.524494084	0.545127357
51177	-1.217084616	-0.968323898
2730	-1.128860678	-1.631691286
23304	-2.28994727	-1.967416604
25901	0.662112674	1.785086146
58528	0.782336385	1.542378223
3298	-2.160402028	-2.28809283
51230	-2.184971672	-2.013234649
10062	0.306416224	-0.885080033
1890	0.475314161	0.695208013
11231	0.313923519	0.968436201
23633	-0.585751188	-0.866707299
7431	0.81141116	1.034347737
	0.446346107	1.490381704
8635	1.219703321	1.649391832
960	0.300325294	1.019625491
3755	1.450503117	1.929039163
57823	0.947350225	1.121207571
11119	0.785437391	0.703102465
4285	0.564805892	1.128875049
5583	-1.553616207	-1.035096218
3459	-1.006304602	-1.217272349
11285	0.509996921	0.336922276
9047	-1.97604184	-2.34074313
7444	-1.204993308	-0.707059585
7133	-0.812062192	-0.715005819
55591	0.099841446	0.929997979
5452	-0.401062191	-2.099193354
6642	0.83357094	1.216233265
9519	-1.761246036	-1.209069361
56938	0.759294795	1.061658338
9774	-0.773090839	-0.857793231
51106	-0.366624845	-2.299443576
578	-1.132388734	-0.655845956
2896	1.218190516	1.609406334
57514	-2.340367393	-2.694350742
6301	0.877375636	1.057334259
8498	-0.514016067	-0.704142966
5926	-1.682746514	-1.521571159
7260	0.561588618	0.064213661
10908	1.06543839	1.617628929
56052	0.716095516	0.865494685
55596	-1.982460577	-2.265635704
54480	-0.05787143	-0.924787849
2530	-2.450207488	-1.515684622
55236	-0.563451783	-1.132831305
9846	-1.805294197	-1.439024605
535	0.357793487	0.558530379
8554	-1.921202087	-1.957105024
5606	-2.420588259	-3.097702599
9168	1.386339403	1.327523824
28990	-2.167337009	-2.581342226
25897	-2.038184853	-1.983238627
11345	1.180088204	1.390801563
26751	0.891114535	1.505515711
84908	0.809713111	1.114891575
8439	0.535382805	1.534108514
7077	0.702483145	1.44339316
5981	-1.603448038	-1.930615071
55773	-1.147500849	-1.25563294
8452	-1.626243974	-1.707412087
9172	1.315799573	1.493261069
26009	-0.668956166	-1.403091369
9099	-4.335106907	-4.471547499
846	-1.669914541	1.572046449
51121	0.772210205	0.229575096
54888	-0.759795032	-0.967560676
54455	-2.374999382	-3.198784537
4238	-2.006910905	-1.259434878
84245	0.746789835	0.649644684
4234	-0.650223001	-1.78236715
175	1.226118335	2.017646876
259282	-0.788385414	-0.223387845
27430	-0.237875892	-0.842361443
7092		1.724598782
23644	-0.602236185	-0.668886835
7204	-1.003415087	-0.437102539
4481	0.407680329	1.159512084
999	1.743564088	-0.388417905
23517	-0.975641252	-1.603131019
9765	-0.668938146	-0.839809086
79567	-0.511316659	-0.743622996
11284	0.569429754	0.568170822
23035	-1.441788865	-0.331325667
27067	0.295434929	1.065969985
54896	-1.402953094	-1.627783133
65078	-0.207491851	-1.012842116
79142	-2.59508338	-3.056970992
3631	-0.349496602	-0.630703988
5685	0.618547515	1.081429044
55341	-0.59507836	-1.297104731
10039	0.515298313	0.7366927
3371	-0.075736918	1.355006948
90326	-0.206324037	-1.292712139
55775	-0.636264201	-0.638663088
84883	-0.191234845	-0.590289738
9440	-2.765210916	-3.344042904
54884	0.964429011	1.452986038
822	1.285291602	1.399236896
1175	1.249482971	1.407873592
10863	0.924721644	1.365576894
54165	-0.768259702	-1.337306683
23338	-2.717718736	-2.061561704
3937	-2.82924826	-2.958315744
153	-0.095713028	-0.224825225
1495	0.695124588	1.423092582
3309	-0.62757815	-0.14108606
22884	-2.301104855	-2.365456248
51606	0.577231828	0.688841735
5431	-0.775413863	-1.000295148
56204	-1.729497802	-0.230751458
116984	-1.812021241	-0.521871525
7175	-0.46582119	-1.228617914
1356	1.279550025	-0.50195913
84062	-0.752453168	0.044648289
57102	-1.128243248	-1.426103367
57120	-1.702517053	-1.460751315
9734	-2.222041137	-2.350536994
26262	1.168603265	1.844923636
51491	-0.997088025	-2.647682815
57545	1.006209228	0.88842679
168850	-1.0141272	-1.075917983
55173	0.562125354	0.556282738
51773	-1.542293363	-0.791143525
10659	0.25560457	0.624450777
23196	0.493343136	0.991802451
23518	0.529884732	1.297921073
1298	0.948298479	0.344829534
4254	-2.91805706	-3.548252528
9563	0.243610447	0.489229442
9341	0.718551819	0.695988515
8863	-0.643824092	0.311104344
10911	-1.005772131	0.97168809
3604	-0.291941507	-0.992536855
55040	0.141447504	-3.426417682
4052	-0.84540672	2.011045086
5954	1.198523269	1.502334716
57492	-2.247868885	-1.625869705
81037	0.897228062	0.591725133
23327	-0.610091432	-0.78580147
3074	1.278135298	1.691155852
7984	-2.153380193	-2.866603514
9603	1.004666282	1.883573829
25875	1.014551304	0.950253358
9498	0.49176336	0.153883521
79931	-2.198907797	-2.76966905
5601	0.887239761	1.453842982
9564	-2.968503311	-4.497851896
84067	-0.883068106	-1.280666049
9709	-1.315112268	-1.566945855
9454	0.80221156	1.424980694
5291	-1.178231088	-0.242583524
1535	1.372794914	1.591039213
84321	0.132643189	-1.370820193
23593	1.043384817	1.760370797
23223	-0.905391435	-1.228581687
57600	-2.006767397	-1.896889104
6307	-0.04041748	-1.18115741
1112	-0.812510389	0.354653949
8574	1.024094319	1.163819251
51154	-0.341165062	-1.267704286
4826	1.448572343	2.645649291
29945	-0.57711134	-1.060935912
3784	1.220405922	1.737766043
9967	-1.297804215	-1.371650995
29085	1.383729106	1.429843737
4065	0.724444949	1.69078422
51742	-1.188862956	-1.315633937
23596	1.140033815	1.986833051
5798	-0.816606052	1.06115886
55733	0.858651163	1.381375431
23095	-1.4160334	-1.609213352
2296	2.869540219	1.861298275
10079	0.71025001	1.105250437
84957	-1.221236247	-1.622022092
2581	1.098664846	1.832432901
26099	0.562121056	0.859849181
3757	0.887007461	-2.618873019
8454	-2.004102135	-2.23261332
26999	0.750331448	0.36677847
23118	-0.883952476	0.00563099
116254	0.95245088	1.73018135
5610	-0.669778687	-0.346023367
57602	-1.964539444	-1.923325003
58508	-2.276562068	-1.556853351
55283	0.606778264	2.354541807
23369	-1.044587189	-1.268083416
84545	0.638313453	0.637088359
3700	1.908621415	2.195027925
